author_set,quantity
arlinda huel,201
asa rogahn,182
"crysta armstrong, salvador d'amore",175
"denisha cassin, garfield blick, olin windler",166
"milton graham, son mueller",162
carolyne west,148
maynard bartoletti ret.,148
jeffrey cassin,145
cathy kovacek phd,133
"carisa blick, fr. kacy reilly",127
"erick dooley i, maynard bartoletti ret., morton medhurst",127
ms. numbers kris,122
lorean koch,120
nichole wiza,118
chante stamm,116
prof. anastacia howe,116
"amos schaden vm, awilda sauer sr., chantelle mclaughlin, jenniffer greenholt",112
travis moore,112
stephen goodwin,111
ms. jenee mann,110
prof. jason breitenberg,109
dinah anderson,108
miss yong wyman,107
sen. justin haley,106
alfonzo hilpert,104
doyle hahn ii,103
"elijah bernhard, msgr. frances fritsch, rudy wisozk",102
"amb. deon herman, gerda torphy, vincenza jerde",102
"amos schaden vm, awilda sauer sr., jenniffer greenholt",100
rossana koelpin,98
"sonia hauck, the hon. mac thiel",94
chantelle mclaughlin,93
"johnnie hoeger, kaci skiles, tessa pfeffer dc",93
patience kautzer,93
hyacinth shields iv,92
broderick lebsack,91
odessa hartmann,91
delma crooks,90
hosea monahan,90
leone ondricka iv,89
grant von,85
tony o'hara,85
"lawerence collins, rocio cremin",85
jasper bogisich,85
sung lindgren,85
fr. kacy reilly,82
erwin douglas,81
prof. jerlene hintz,81
"elliott lowe, jessenia macejkovic",80
"aldo white, deanne cummerata",80
"arlie stiedemann, simona o'reilly",80
pres. mathilda lebsack,79
edgardo littel iii,79
christin johnson,79
"dewayne heathcote dc, garland leannon",79
tiffani o'keefe jd,79
clementina dicki,79
tyler schneider,77
"charlie labadie lld, sam langosh",77
juliette abbott,75
lyda terry,75
carlton stanton,74
laverne lemke,74
donn jaskolski,73
birgit ryan sr.,73
"brice prohaska md, elia bartell, jerald kreiger",73
evelyne predovic,72
alex ledner,72
"alan o'kon, amb. erline funk",72
"darnell lakin, tandra ebert",72
felix rice iv,72
eli okuneva dc,72
chet runolfsdottir,71
sen. jerrell mills,71
pinkie kutch,71
carisa blick,71
"antonio hettinger, claudio gleason",71
nathalie rempel,70
delbert emmerich ii,70
yuri o'reilly,70
"amb. deon herman, gerda torphy, maynard strosin cpa, normand walter, vincenza jerde",70
"augustina conn, wilhemina wehner dc",70
stephan cassin,69
thurman bruen,69
vanessa haley,69
elvin hagenes,68
sondra o'reilly,68
"andra reilly, keneth crist",68
"matthew stark, ocie barton, stacy quitzon",67
bruna skiles,66
"numbers howell dds, tyson treutel",66
"donn jaskolski, solange marks",66
roni davis,66
"andra reilly, tabetha fisher",65
"fr. jeremiah larson, ms. chris paucek",65
joshua hamill ii,64
mrs. serafina mohr,64
"collette zieme esq., leone ondricka iv",64
"maynard strosin cpa, normand walter, rossana koelpin",64
frankie vandervort,64
the hon. mac thiel,63
"iliana nicolas, jerold armstrong jd, jim renner, rev. justin macgyver, rev. susanna christiansen, zelma rempel",63
roberta swift,63
"broderick lebsack, stefan carter esq.",63
annabell block ret.,63
prudence cassin v,62
raul roob iii,62
"erick dooley i, morton medhurst",62
msgr. seema koss,62
efren bayer v,61
"karma leffler, tabetha fisher",61
"terica sanford, ursula o'connell",61
rebecca torp,61
kareem hagenes,61
"armando sipes dds, carlos hansen",60
msgr. doyle koch,60
"bette berge jr., elliot gerhold, pres. thanh harber",60
pres. doug donnelly,60
lean daugherty,58
alina oberbrunner,58
mr. era olson,58
justin wiza,58
audie mohr,57
shane homenick sr.,57
alanna mayer,57
amb. catarina mueller,57
"eleanor stark, reynalda conn",57
"elfrieda grant, prof. jason breitenberg",57
sadye romaguera,56
deanne cummerata,55
joline nitzsche cpa,55
lynn runte,55
karma leffler,55
"marvel o'hara, stefan carter esq.",55
andrea ritchie,55
stuart torphy,54
"efrain schiller, nicky bailey",54
jann leannon,54
"christin johnson, sondra o'reilly",54
rob veum,54
carlos hansen,53
tabetha fisher,52
stasia hoppe,52
basil tremblay,52
patricia lueilwitz,52
gino kiehn,52
"audrea reynolds, mui upton dc",52
sonia hauck,51
"benedict stark, buddy ward, thu lesch",51
marvel o'hara,51
ms. chris paucek,51
hong ratke,50
"alanna mayer, alphonso bednar md, vanna hauck lld",50
samara cassin,50
lauren beier do,50
"jenice bartell, raye watsica",50
adolfo zemlak md,49
msgr. rory kirlin,49
"ernesto jaskolski, homer lebsack",49
matthew breitenberg,49
rickey green,48
pres. cesar macgyver,48
agustin stanton iii,48
thanh prohaska,48
ali sanford,47
fr. jeremiah larson,47
"brady mante, lynn leffler",47
luisa boehm,47
delbert littel,47
jesus thompson,46
bruno beer,46
preston hyatt,46
laurice bosco,46
kari wiegand,46
aldo white,46
"matthew stark, ocie barton, stacy quitzon, stephen goodwin",46
audra wehner jr.,45
the hon. shannan goodwin,44
demetria lebsack,44
"fr. kacy reilly, thanh prohaska",44
"heath mayer, ms. elwood kuhlman",43
dominic jones,42
arianne beier,42
lynwood rau,42
mrs. loris mcdermott,42
amb. debora lubowitz,42
fr. shirley jones,41
"burl west, lynna kub, merlin nikolaus",41
ned yost,41
"antonio hettinger, audrea reynolds, claudio gleason, mui upton dc",41
karin gerlach,41
vera roob,40
patty borer,40
"jenni kautzer, tod kris",40
margarita dietrich,39
eugenio crooks,39
xuan shields do,39
ezequiel stehr iv,38
"fr. shirley jones, rosaura west",38
fredric kris vm,37
rep. charlyn hagenes,37
antoine mosciski,37
erma hansen md,37
tara gleason,37
lanita macgyver,36
fr. taina bernier,36
"fran ritchie, rebecca torp",35
clarence gulgowski,35
"edison ward vm, hyo hyatt md, penney miller",35
darwin goodwin,35
"deangelo hammes, miss kieth kautzer, takako streich",35
randall brakus,35
bert daugherty,35
"jack yundt, jess schaden, vernice gislason",35
msgr. roosevelt daugherty,34
"derek doyle, kellie kirlin, ngoc effertz i",33
dennise mante dds,33
gov. luella konopelski,33
"eleanor stark, reynalda conn, sung lindgren",33
edie conroy,32
rep. vergie kohler,32
len konopelski,32
"broderick lebsack, elijah bernhard, msgr. frances fritsch, rudy wisozk",31
"jim renner, rev. susanna christiansen, zelma rempel",31
joan quigley,30
doretta schuppe,30
"annalee johnson, quinn bechtelar, verlie gislason",30
"amb. catarina mueller, rep. vergie kohler",29
jane wiegand,29
"graig murazik, millard murphy, sang ratke iii",29
armando sipes dds,29
belkis rolfson,29
jeffery lubowitz,29
diane robel do,29
"bart denesik esq., ike kuhic, msgr. annelle d'amore",28
"agustin stanton iii, keneth crist",28
"jim renner, rev. susanna christiansen, zackary kassulke, zelma rempel",28
fernando kunze md,28
"jack yundt, jess schaden",27
lynn thiel,27
"andre ebert, sen. andera beer",27
josef connelly,27
"milton conn, quentin crist vm",26
julianne keeling,26
enedina doyle,26
fran ritchie,26
rosaura west,26
ngoc effertz i,26
christopher collins,26
cortez schmitt,25
collette zieme esq.,25
solange marks,25
demetrice brown,25
jenni kautzer,25
"iliana nicolas, jerold armstrong jd, rev. justin macgyver",25
loreta thompson,24
"edwin koepp, lyman o'keefe, msgr. shante weissnat",24
del kautzer,24
ernesto jaskolski,24
jayme senger,24
"clementina dicki, matthew stark, ocie barton, stacy quitzon",24
emerita tillman,23
"laurice bosco, sung lindgren",23
"del kautzer, denisha cassin, garfield blick, olin windler",23
yu gislason,23
"alphonso bednar md, vanna hauck lld",23
homer lebsack,23
cassi herman,22
"arden crooks, delmy blanda, huey grady",22
bennie friesen v,22
"homer lebsack, thurman bruen",22
"alex ledner, numbers howell dds, tyson treutel",21
"thu lesch, thurman bruen",21
dell windler jd,21
elfrieda grant,21
kimber wolff,21
leopoldo rogahn,21
blythe bernhard,21
keneth crist,21
"brandon kling, randal ortiz",21
"cristie doyle, karol mills, rashida predovic",20
"efren bayer v, roni davis",20
kristen wolff,20
maxwell bogan jr.,20
kimi pacocha,20
rosalinda mcclure,20
colby williamson iii,20
pres. sean raynor,20
vernice gislason,19
"msgr. rory kirlin, thurman bruen",19
"derek doyle, kellie kirlin",19
"boyd schamberger, gov. lovella grimes",18
thu lesch,18
"maynard strosin cpa, normand walter",18
"mrs. hung runolfsson, tanja ferry",18
myung boehm,18
stefan carter esq.,17
"camelia huels, caroline mayer, everett heller, jayme senger",17
jarod simonis dvm,17
"alphonso bednar md, joshua hamill ii, vanna hauck lld",17
terrence legros,17
msgr. jorge osinski,17
"dominic jones, pres. doug donnelly",17
louis ryan,16
vannessa price,16
amb. candace haag,16
msgr. sherilyn reinger,16
mr. keenan frami,16
fr. carmen kerluke,15
zackary kassulke,15
msgr. dewitt olson,15
nadene gorczany,15
"denyse abernathy, joshua reichel",15
prof. jeff batz,15
rod heaney,14
winter anderson lld,14
"camelia huels, caroline mayer, everett heller",14
andra reilly,14
"jeffrey cassin, sondra o'reilly",13
"arlie stiedemann, edwin koepp, lyman o'keefe, msgr. shante weissnat, simona o'reilly",13
tod kris,12
"benedict stark, buddy ward",11
"gino welch, haydee larson, rep. heath stiedemann",9
rev. luciano goodwin,8
apryl hills,8
