date_extracted,paid_price
2024-01-04,141.17
2024-01-06,48.0
2024-01-07,42.5
2024-01-09,75.0
2024-01-11,95.75
2024-01-13,48.99
2024-01-16,205.46
2024-01-17,16.0
2024-01-19,62.4
2024-01-23,45.6
2024-01-24,17.0
2024-01-28,162.54000000000002
2024-01-29,30.25
2024-02-01,94.0
2024-02-02,107.98
2024-02-03,76.2
2024-02-05,55.5
2024-02-06,19.25
2024-02-07,121.72999999999999
2024-02-08,456.25
2024-02-09,72.0
2024-02-10,191.39
2024-02-12,163.2
2024-02-14,150.3
2024-02-15,22.5
2024-02-17,36.0
2024-02-18,167.5
2024-02-19,17.0
2024-02-20,267.0
2024-02-23,184.8
2024-02-24,139.95
2024-02-25,90.5
2024-02-26,247.0
2024-02-27,53.25
2024-02-28,190.0
2024-02-29,244.47
2024-03-01,454.0
2024-03-02,192.75
2024-03-03,78.5
2024-03-04,75.3
2024-03-05,168.89
2024-03-06,198.79000000000002
2024-03-07,185.5
2024-03-08,482.89
2024-03-09,133.4
2024-03-10,411.2
2024-03-11,53.0
2024-03-12,80.39
2024-03-13,272.29
2024-03-14,194.94
2024-03-15,324.65
2024-03-16,477.35
2024-03-18,148.0
2024-03-19,20.39
2024-03-20,479.08
2024-03-21,382.0
2024-03-22,396.75
2024-03-23,61.0
2024-03-24,91.75
2024-03-25,402.75
2024-03-26,558.08
2024-03-27,394.47
2024-03-28,354.6
2024-03-29,397.98
2024-03-30,32.0
2024-03-31,153.8
2024-04-01,339.7
2024-04-02,371.94
2024-04-03,494.03
2024-04-04,29.0
2024-04-05,346.85
2024-04-06,130.73
2024-04-07,312.02
2024-04-08,572.9399999999999
2024-04-09,359.7
2024-04-10,382.18
2024-04-11,344.75
2024-04-12,285.69
2024-04-13,124.6
2024-04-14,596.68
2024-04-15,431.72
2024-04-16,165.65
2024-04-17,304.47
2024-04-18,338.73
2024-04-19,459.13
2024-04-20,101.0
2024-04-21,280.75
2024-04-22,469.2
2024-04-23,184.6
2024-04-24,630.7
2024-04-25,716.83
2024-04-26,670.44
2024-04-27,433.53
2024-04-28,638.9
2024-04-29,399.46000000000004
2024-04-30,491.99
2024-05-01,612.7
2024-05-02,622.2
2024-05-03,838.35
2024-05-04,463.74
2024-05-05,404.0
2024-05-06,356.0
2024-05-07,525.59
2024-05-08,379.3
2024-05-09,339.09000000000003
2024-05-10,428.2
2024-05-11,711.39
2024-05-12,739.18
2024-05-13,622.89
2024-05-14,1039.65
2024-05-15,433.69
2024-05-16,638.13
2024-05-17,909.5
2024-05-18,395.27
2024-05-19,221.5
2024-05-20,1197.95
2024-05-21,628.96
2024-05-22,336.5
2024-05-23,1145.84
2024-05-24,321.55
2024-05-25,816.6800000000001
2024-05-26,1032.2
2024-05-27,1349.29
2024-05-28,901.4499999999999
2024-05-29,431.67
2024-05-30,859.59
2024-05-31,117.8
2024-06-01,815.35
2024-06-02,1036.74
2024-06-03,538.44
2024-06-04,272.2
2024-06-05,736.0
2024-06-06,729.19
2024-06-07,536.53
2024-06-08,740.87
2024-06-09,1195.0
2024-06-10,982.24
2024-06-11,681.73
2024-06-12,784.08
2024-06-13,1026.01
2024-06-14,662.6
2024-06-15,1756.07
2024-06-16,455.69
2024-06-17,455.28
2024-06-18,666.99
2024-06-19,1448.31
2024-06-20,448.8
2024-06-21,1526.12
2024-06-22,720.51
2024-06-23,978.74
2024-06-24,647.4300000000001
2024-06-25,906.2
2024-06-26,435.64
2024-06-27,1357.93
2024-06-28,738.64
2024-06-29,662.55
2024-06-30,818.97
2024-07-01,433.86
2024-07-02,1032.89
2024-07-03,1119.99
2024-07-04,1075.44
2024-07-05,1047.62
2024-07-06,1575.18
2024-07-07,944.1999999999999
2024-07-08,796.08
2024-07-09,1274.62
2024-07-10,1055.69
2024-07-11,649.04
2024-07-12,1580.53
2024-07-13,768.7
2024-07-14,530.55
2024-07-15,1370.32
2024-07-16,1242.19
2024-07-17,651.28
2024-07-18,1207.12
2024-07-19,1139.54
2024-07-20,1629.13
2024-07-21,961.25
2024-07-22,775.02
2024-07-23,559.47
2024-07-24,1016.4100000000001
2024-07-25,2905.91
2024-07-26,1528.9
2024-07-27,978.07
2024-07-28,903.46
2024-07-29,2450.87
2024-07-30,1960.67
2024-07-31,842.46
2024-08-01,772.64
2024-08-02,745.37
2024-08-03,650.5
2024-08-04,1904.26
2024-08-05,571.55
2024-08-06,1704.56
2024-08-07,1394.57
2024-08-08,1155.42
2024-08-09,2435.6
2024-08-10,2618.81
2024-08-11,661.94
2024-08-12,2259.68
2024-08-13,1183.67
2024-08-14,1314.23
2024-08-15,1237.2
2024-08-16,1233.34
2024-08-17,1297.23
2024-08-18,1150.61
2024-08-19,1160.46
2024-08-20,1611.21
2024-08-21,1930.78
2024-08-22,936.69
2024-08-23,1133.98
2024-08-24,2643.56
2024-08-25,1079.43
2024-08-26,1289.05
2024-08-27,1776.8799999999999
2024-08-28,2176.87
2024-08-29,2020.1399999999999
2024-08-30,1612.36
2024-08-31,1116.24
2024-09-01,1650.35
2024-09-02,1768.44
2024-09-03,1014.0
2024-09-04,1350.17
2024-09-05,1557.88
2024-09-06,2490.23
2024-09-07,1742.82
2024-09-08,1412.19
2024-09-09,1866.19
2024-09-10,1672.92
2024-09-11,2542.1
2024-09-12,2058.94
2024-09-13,1132.52
2024-09-14,2032.52
2024-09-15,2576.65
2024-09-16,2287.93
2024-09-17,1318.25
2024-09-18,1512.95
2024-09-19,1564.61
2024-09-20,2148.5
2024-09-21,2492.09
2024-09-22,1721.54
2024-09-23,897.85
2024-09-24,1410.37
2024-09-25,2563.4900000000002
2024-09-26,1434.79
2024-09-27,2230.88
2024-09-28,2235.3199999999997
2024-09-29,1460.45
2024-09-30,1572.02
2024-10-01,2090.5
2024-10-02,1684.8
2024-10-03,2797.02
2024-10-04,2080.07
2024-10-05,1970.09
2024-10-06,1181.47
2024-10-07,1221.24
2024-10-08,1691.82
2024-10-09,1572.35
2024-10-10,1456.1100000000001
2024-10-11,2277.46
2024-10-12,1922.0
2024-10-13,1823.73
2024-10-14,1720.6
2024-10-15,1807.47
2024-10-16,2131.86
2024-10-17,2576.86
2024-10-18,2108.84
2024-10-19,1573.23
2024-10-20,2116.95
2024-10-21,1231.47
2024-10-22,2148.91
2024-10-23,2240.59
2024-10-24,2151.72
2024-10-25,2253.46
2024-10-26,3127.92
2024-10-27,1846.1599999999999
2024-10-28,1536.67
2024-10-29,2100.19
2024-10-30,2388.78
2024-10-31,1436.34
2024-11-01,2954.03
2024-11-02,1346.2
2024-11-03,1506.3
2024-11-04,1676.13
2024-11-05,1399.68
2024-11-06,1851.48
2024-11-07,2277.46
2024-11-08,1796.54
2024-11-09,1505.0900000000001
2024-11-10,2465.73
2024-11-11,1421.66
2024-11-12,3034.54
2024-11-13,1882.69
2024-11-14,2220.88
2024-11-15,1825.71
2024-11-16,3688.2
2024-11-17,1571.32
2024-11-18,1342.68
2024-11-19,995.48
2024-11-20,1906.79
2024-11-21,1745.79
2024-11-22,1744.59
2024-11-23,1833.1299999999999
2024-11-24,1422.19
2024-11-25,2543.67
2024-11-26,2575.76
2024-11-27,1220.84
2024-11-28,2422.92
2024-11-29,1652.03
2024-11-30,2618.22
2024-12-01,2138.63
2024-12-02,2420.44
2024-12-03,2170.62
2024-12-04,1935.1
2024-12-05,2227.09
2024-12-06,2034.67
2024-12-07,1853.7
2024-12-08,764.23
2024-12-09,2441.66
2024-12-10,1935.85
2024-12-11,2481.12
2024-12-12,1692.63
2024-12-13,1673.72
2024-12-14,1823.1799999999998
2024-12-15,1851.49
2024-12-16,2447.73
2024-12-17,2631.18
2024-12-18,1781.88
2024-12-19,2891.69
2024-12-20,1742.25
2024-12-21,1823.05
2024-12-22,1710.63
2024-12-23,2839.21
2024-12-24,2705.01
2024-12-25,2851.22
2024-12-26,2892.83
2024-12-27,2925.57
2024-12-28,2933.7
2024-12-29,1187.35
2024-12-30,2435.59
2024-12-31,2792.34
2025-01-01,2504.49
2025-01-02,2013.55
2025-01-03,2189.66
2025-01-04,2334.43
2025-01-05,2543.32
2025-01-06,1828.5
2025-01-07,1473.57
